LONG	LAT	SES.SIZE.DISPARITY	SES.SHAPE.VENTRAL
-58.28	-35.87	1.169306056	0.430656229
-57.28	-35.87	0.49624541	0.365583177
-72.28	-34.87	-0.844533284	-1.546164054
-71.28	-34.87	-1.142579559	-2.091779138
-70.28	-34.87	-0.635059443	-1.714132287
-69.28	-34.87	-0.772175357	-1.806035599
-68.28	-34.87	-0.550759229	-1.832515488
-67.28	-34.87	-0.375439143	-2.134711356
-66.28	-34.87	-0.024260004	-1.287800498
-65.28	-34.87	-0.113058304	-0.70603847
-64.28	-34.87	-0.057073265	-0.898120056
-63.28	-34.87	0.218548616	0.295310416
-62.28	-34.87	0.052274265	0.116727145
-61.28	-34.87	0.216271674	0.199780717
-60.28	-34.87	0.792563363	0.584756706
-59.28	-34.87	1.743404753	0.261195699
-58.28	-34.87	1.211939953	-0.06902225
-56.28	-34.87	2.092914638	0.551090004
-55.28	-34.87	1.678524933	0.470517845
-71.28	-33.87	-0.835082935	-2.059410494
-70.28	-33.87	-0.814546982	-2.499056123
-69.28	-33.87	-0.782906954	-2.292647451
-68.28	-33.87	-0.204173984	-1.954257329
-67.28	-33.87	-0.334677004	-1.68637148
-66.28	-33.87	-0.319965956	-0.866631261
-65.28	-33.87	-0.302450279	-1.345592044
-64.28	-33.87	-0.182453973	-0.943727738
-63.28	-33.87	0.375003142	0.207529576
-62.28	-33.87	0.16301549	0.193577036
-61.28	-33.87	0.312853518	0.091656915
-60.28	-33.87	1.050369276	0.671988944
-59.28	-33.87	0.818889439	-0.073568688
-58.28	-33.87	1.16334923	-0.054702783
-57.28	-33.87	1.935617607	-0.027832238
-56.28	-33.87	2.00217124	0.327791431
-55.28	-33.87	1.411102657	0.366157062
-54.28	-33.87	1.741231012	0.171345711
-71.28	-32.87	-0.693525692	-1.509070027
-70.28	-32.87	-0.712831915	-2.421624588
-69.28	-32.87	-0.669607733	-1.940626139
-68.28	-32.87	-0.298777392	-1.788897929
-67.28	-32.87	-0.571615921	-2.180356358
-66.28	-32.87	-0.302379914	-1.099967588
-65.28	-32.87	-0.265228056	-1.066875379
-64.28	-32.87	-0.495601435	-1.534910213
-63.28	-32.87	-0.112477171	-0.440435508
-62.28	-32.87	-0.013937642	0.157706435
-61.28	-32.87	0.573957951	-0.297957263
-60.28	-32.87	1.505938496	0.123366375
-59.28	-32.87	1.849927919	-0.719668987
